#010C65
#FDFDFE
#A66CF9
#03126B
#9C67F2
#091574
#9162E8
#101B7F
#855ADE
#7953D2
#6D4BC8
#5F45BC
#1E2385
#2C2990
#02216F
#373199
#523EB0
#9A73F2
#4535A4
#0D98AA
#073A7C
#0D87A3
#022E76
#0D4686
#09769B
#0E6692
#219BBC
#065689
#8A77E9
#4292CB
#757FE2
#5E88D6
#555EBE
#726DD5
#3154A5
#DBE0F7
#4C7AB9
#B9BEE6
#86A2DA
#A490E8
